grid,fm,key,algorithm,optimizer,lr,seed,checkpoint_dtype,acc_json,acc_archived,acc_checkpoint,n_diff_vs_archived,n_diff_vs_json,shift_vs_archived_pp,shift_vs_json_pp
sgd,Virchow2,5ea245b5b345,FedProx,sgd,0.1,1,torch.float16,0.49389747762408465,0.49389747762408465,0.49308380797396256,1,1,-0.08136696501220841,-0.08136696501220841
sgd,Virchow2,63b7cee8384c,FedProx,sgd,0.03,2,torch.float16,0.9121236777868186,0.9121236777868186,0.9121236777868186,0,0,0.0,0.0
sgd,Virchow2,6d49efb56749,FedAvg,sgd,0.003,1,torch.float16,0.903173311635476,0.903173311635476,0.903173311635476,0,0,0.0,0.0
sgd,Virchow2,7066b43afa27,SCAFFOLD,sgd,0.1,4,torch.float16,0.5549227013832384,0.5549227013832384,0.5549227013832384,0,0,0.0,0.0
sgd,Virchow2,7178201917f0,FedProx,sgd,0.003,3,torch.float16,0.8901545972335232,0.8901545972335232,0.8901545972335232,0,0,0.0,0.0
sgd,Virchow2,7332182a040a,FedProx,sgd,0.1,4,torch.float16,0.5939788445890968,0.597233523189585,0.5939788445890968,6,0,-0.32546786004882255,0.0
sgd,Virchow2,795eceba600a,FedProx,sgd,0.03,3,torch.float16,0.8437754271765663,0.8437754271765663,0.8437754271765663,0,0,0.0,0.0
sgd,Virchow2,7f2896dd7e20,FedProx,sgd,0.03,0,torch.float16,0.9389747762408462,0.9389747762408462,0.9389747762408462,0,0,0.0,0.0
sgd,Virchow2,89d361d100d8,FedProx,sgd,0.01,3,torch.float16,0.9056143205858421,0.9056143205858421,0.9056143205858421,0,0,0.0,0.0
sgd,Virchow2,952a520473a1,FedAvg,sgd,0.01,2,torch.float16,0.9308380797396257,0.9308380797396257,0.9308380797396257,0,0,0.0,0.0
sgd,Virchow2,987269280cfe,FedAvg,sgd,0.03,1,torch.float16,0.9178193653376729,0.9178193653376729,0.9178193653376729,0,0,0.0,0.0
sgd,Virchow2,9a3fe40e415c,FedProx,sgd,0.003,4,torch.float16,0.8812042310821806,0.8812042310821806,0.8812042310821806,0,0,0.0,0.0
